chunk_size,overlap,embedding_model,k,mean_similarity,mean_f1,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_k_accuracy,,0.713197625
400,100,text-embedding-3-small,10,0.444114057,0.54267432,0.279069767,0.627906977,0.76744186,0.88372093,,0.731965689
400,100,text-embedding-3-large,10,0.469789703,0.556954634,0.372093023,0.674418605,0.790697674,0.906976744,,
