chunk_size,overlap,embedding_model,k,mean_similarity,mean_f1,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_k_accuracy,,
450,150,text-embedding-3-small,10,0.422835229,0.518196229,0.279069767,0.558139535,0.813953488,0.953488372,,0.735842301
450,250,text-embedding-3-small,10,0.430731411,0.527070728,0.325581395,0.511627907,0.697674419,0.88372093,,0.705395829
500,150,text-embedding-3-small,10,0.372133329,0.497000239,0.279069767,0.627906977,0.790697674,0.976744186,,0.736872212
500,250,text-embedding-3-small,10,0.380340118,0.491039512,0.325581395,0.558139535,0.697674419,0.906976744,,0.699008128
550,150,text-embedding-3-small,10,0.335369173,0.465680563,0.395348837,0.627906977,0.813953488,0.953488372,,0.709584467
550,250,text-embedding-3-small,10,0.336434596,0.467548969,0.279069767,0.441860465,0.720930233,0.930232558,,0.698890763
