chunk_size,overlap,embedding_model,k,mean_similarity,mean_f1,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_k_accuracy,combined_score
450,150,text-embedding-3-small,10,0.4228352290691844,0.5181962292152698,0.27906976744186046,0.5581395348837209,0.813953488372093,0.9534883720930233,0.7358423006541466
450,250,text-embedding-3-small,10,0.43073141092201317,0.5270707275158346,0.32558139534883723,0.5116279069767442,0.6976744186046512,0.8837209302325582,0.7053958288741964
500,150,text-embedding-3-small,10,0.3721333292532583,0.4970002388908783,0.27906976744186046,0.627906976744186,0.7906976744186046,0.9767441860465116,0.7368722124686949
500,250,text-embedding-3-small,10,0.38034011802195433,0.4910395123519439,0.32558139534883723,0.5581395348837209,0.6976744186046512,0.9069767441860465,0.6990081282689952
550,150,text-embedding-3-small,10,0.3353691728274228,0.4656805626386062,0.3953488372093023,0.627906976744186,0.813953488372093,0.9534883720930233,0.7095844673658147
550,250,text-embedding-3-small,10,0.33643459580062557,0.46754896864634804,0.27906976744186046,0.4418604651162791,0.7209302325581395,0.9302325581395349,0.6988907633929414
