chunk_size,overlap,embedding_model,k,mean_similarity,mean_f1,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_k_accuracy,combined_score
375,100,text-embedding-3-small,10,0.45776236952136906,0.5446270321217839,0.27906976744186046,0.5813953488372093,0.7674418604651163,0.8372093023255814,0.6909181672236826
375,250,text-embedding-3-small,10,0.44990869592245447,0.5332496271930935,0.27906976744186046,0.4883720930232558,0.6046511627906976,0.813953488372093,0.6736015577825933
425,100,text-embedding-3-small,10,0.4079856188074657,0.4980628808179441,0.23255813953488372,0.6046511627906976,0.7441860465116279,0.8604651162790697,0.6792639985485069
425,250,text-embedding-3-small,10,0.4446972491512528,0.5310501310101695,0.23255813953488372,0.5348837209302325,0.627906976744186,0.8604651162790697,0.6957576236446197
500,100,text-embedding-3-small,10,0.34976218608431275,0.48055677226634325,0.32558139534883723,0.6046511627906976,0.7674418604651163,0.9069767441860465,0.6937667582261948
500,250,text-embedding-3-small,10,0.38034011802195433,0.4910395123519439,0.32558139534883723,0.5581395348837209,0.6976744186046512,0.9069767441860465,0.6990081282689952
