chunk_size,overlap,embedding_model,k,mean_similarity,mean_f1,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_k_accuracy,,
375,100,text-embedding-3-small,10,0.45776237,0.544627032,0.279069767,0.581395349,0.76744186,0.837209302,,0.690918167
375,250,text-embedding-3-small,10,0.449908696,0.533249627,0.279069767,0.488372093,0.604651163,0.813953488,,0.673601558
425,100,text-embedding-3-small,10,0.407985619,0.498062881,0.23255814,0.604651163,0.744186047,0.860465116,,0.679263999
425,250,text-embedding-3-small,10,0.444697249,0.531050131,0.23255814,0.534883721,0.627906977,0.860465116,,0.695757624
500,100,text-embedding-3-small,10,0.349762186,0.480556772,0.325581395,0.604651163,0.76744186,0.906976744,,0.693766758
500,250,text-embedding-3-small,10,0.380340118,0.491039512,0.325581395,0.558139535,0.697674419,0.906976744,,0.699008128
