chunk_size,overlap,embedding_model,k,mean_similarity,mean_f1,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_k_accuracy,combined_score
500,50,text-embedding-3-small,5,0.31252923423113904,0.4170691454499983,0.23255813953488372,0.4883720930232558,0.6976744186046512,0.6976744186046512,0.5573717820273247
500,50,text-embedding-3-small,10,0.34752115983395504,0.46888933608335304,0.23255813953488372,0.4883720930232558,0.6976744186046512,0.8837209302325582,0.6763051331579556
500,50,text-embedding-3-large,5,0.3431842431524227,0.458263566279542,0.32558139534883723,0.6976744186046512,0.8372093023255814,0.8372093023255814,0.6477364343025618
500,50,text-embedding-3-large,10,0.3509498339004678,0.4750538097839802,0.32558139534883723,0.6976744186046512,0.8372093023255814,0.9069767441860465,0.6910152769850133
500,100,text-embedding-3-small,5,0.2794024292577018,0.42634009633557723,0.32558139534883723,0.6046511627906976,0.7674418604651163,0.7674418604651163,0.5968909784003468
500,100,text-embedding-3-small,10,0.34976218608431275,0.48055677226634325,0.32558139534883723,0.6046511627906976,0.7674418604651163,0.9069767441860465,0.6937667582261948
500,100,text-embedding-3-large,5,0.3107531445913751,0.44295860960570504,0.3023255813953488,0.6744186046511628,0.8372093023255814,0.8372093023255814,0.6400839559656433
500,100,text-embedding-3-large,10,0.3722491778276847,0.49146348678280294,0.27906976744186046,0.6744186046511628,0.8372093023255814,0.9302325581395349,0.7108480224611688
500,250,text-embedding-3-small,5,0.3091757967954812,0.42480520879714645,0.32558139534883723,0.5581395348837209,0.6976744186046512,0.6976744186046512,0.5612398137008988
500,250,text-embedding-3-small,10,0.38034011802195433,0.4910395123519439,0.32558139534883723,0.5581395348837209,0.6976744186046512,0.9069767441860465,0.6990081282689952
500,250,text-embedding-3-large,5,0.34234377812890243,0.45783526878130604,0.3953488372093023,0.7209302325581395,0.813953488372093,0.813953488372093,0.6358943785766995
500,250,text-embedding-3-large,10,0.386079259296902,0.4986776234450039,0.3953488372093023,0.7209302325581395,0.813953488372093,0.9302325581395349,0.7144550907922693
1000,50,text-embedding-3-small,5,0.18922103658081746,0.3201953547684663,0.4418604651162791,0.7674418604651163,0.8837209302325582,0.8837209302325582,0.6019581425005123
1000,50,text-embedding-3-small,10,0.1963471765570485,0.3308747651053264,0.4418604651162791,0.7674418604651163,0.8837209302325582,0.9302325581395349,0.6305536616224307
1000,50,text-embedding-3-large,5,0.2059670242669217,0.33786557951690865,0.4883720930232558,0.9302325581395349,0.9534883720930233,0.9534883720930233,0.645676975804966
1000,50,text-embedding-3-large,10,0.2067445638737766,0.3388188308429184,0.4883720930232558,0.9302325581395349,0.9534883720930233,0.9534883720930233,0.6461536014679709
1000,100,text-embedding-3-small,5,0.19043971287601136,0.3295922079826741,0.4186046511627907,0.813953488372093,0.9302325581395349,0.9302325581395349,0.6299123830611044
1000,100,text-embedding-3-small,10,0.19846388189776526,0.332924909717897,0.4186046511627907,0.813953488372093,0.9302325581395349,0.9534883720930233,0.6432066409054602
1000,100,text-embedding-3-large,5,0.19228661386847737,0.3324021525210938,0.4883720930232558,0.8837209302325582,0.9534883720930233,0.9534883720930233,0.6429452623070585
1000,100,text-embedding-3-large,10,0.20305628936923031,0.3387413876345859,0.4883720930232558,0.8837209302325582,0.9534883720930233,0.9767441860465116,0.6577427868405488
1000,250,text-embedding-3-small,5,0.15969698647231706,0.2949736957281841,0.4186046511627907,0.7674418604651163,0.7906976744186046,0.7906976744186046,0.5428356850733944
1000,250,text-embedding-3-small,10,0.18998472337850197,0.3375969455372168,0.4186046511627907,0.7674418604651163,0.7906976744186046,0.9534883720930233,0.6455426588151201
1000,250,text-embedding-3-large,5,0.18017589724046845,0.33223688637211224,0.5116279069767442,0.8372093023255814,0.9534883720930233,0.9534883720930233,0.6428626292325678
1000,250,text-embedding-3-large,10,0.1964341307756161,0.34633785181377924,0.5116279069767442,0.8372093023255814,0.9534883720930233,0.9767441860465116,0.6615410189301454
1500,50,text-embedding-3-small,5,0.09436050511904479,0.2389724920610222,0.5813953488372093,0.7674418604651163,0.8837209302325582,0.8837209302325582,0.5613467111467901
1500,50,text-embedding-3-small,10,0.10278968122780738,0.24846596867910495,0.5813953488372093,0.7674418604651163,0.8837209302325582,0.9302325581395349,0.5893492634093199
1500,50,text-embedding-3-large,5,0.11008497160840623,0.25514208936427213,0.627906976744186,0.8837209302325582,0.9534883720930233,0.9534883720930233,0.6043152307286477
1500,50,text-embedding-3-large,10,0.11251730375497983,0.25573458879480493,0.627906976744186,0.9069767441860465,0.9534883720930233,0.9534883720930233,0.6046114804439141
1500,100,text-embedding-3-small,5,0.10254867639728261,0.24179508248135867,0.6744186046511628,0.8604651162790697,0.8837209302325582,0.8837209302325582,0.5627580063569584
1500,100,text-embedding-3-small,10,0.10962612750465976,0.24992681626387753,0.6744186046511628,0.8604651162790697,0.8837209302325582,0.9302325581395349,0.5900796872017062
1500,100,text-embedding-3-large,5,0.11108613985443706,0.24849322725148,0.7441860465116279,0.8372093023255814,0.9302325581395349,0.9302325581395349,0.5893628926955075
1500,100,text-embedding-3-large,10,0.12192059284307083,0.25958676100827754,0.7674418604651163,0.8372093023255814,0.9302325581395349,0.9767441860465116,0.6181654735273946
1500,250,text-embedding-3-small,5,0.09885897618327252,0.23351805504063392,0.6046511627906976,0.7674418604651163,0.8604651162790697,0.8604651162790697,0.5469915856598518
1500,250,text-embedding-3-small,10,0.11941788034754372,0.25818610142263965,0.6046511627906976,0.7674418604651163,0.8604651162790697,0.9534883720930233,0.6058372367578315
1500,250,text-embedding-3-large,5,0.11988280052731316,0.2561987848270069,0.627906976744186,0.8604651162790697,0.9534883720930233,0.9534883720930233,0.6048435784600151
1500,250,text-embedding-3-large,10,0.1303952579985581,0.26627784621327594,0.627906976744186,0.8604651162790697,0.9534883720930233,0.9534883720930233,0.6098831091531496
2000,50,text-embedding-3-small,5,0.07708165880879288,0.20646102029214805,0.7209302325581395,0.7906976744186046,0.9069767441860465,0.9069767441860465,0.5567188822390973
2000,50,text-embedding-3-small,10,0.08425845154002885,0.21334869113319252,0.7209302325581395,0.7906976744186046,0.9069767441860465,0.9534883720930233,0.5834185316131079
2000,50,text-embedding-3-large,5,0.0797914226531835,0.20850382863095346,0.7441860465116279,0.8604651162790697,0.9069767441860465,0.9069767441860465,0.5577402864084999
2000,50,text-embedding-3-large,10,0.08406466240441737,0.2127014453533393,0.7441860465116279,0.8604651162790697,0.9069767441860465,0.9302325581395349,0.571467001746437
2000,100,text-embedding-3-small,5,0.08010650813796868,0.2104747663185135,0.7209302325581395,0.9069767441860465,0.9534883720930233,0.9534883720930233,0.5819815692057684
