chunk_size,overlap,embedding_model,k,mean_similarity,mean_f1,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_k_accuracy,,,Best configuration:,,,,mean_f1,top_k_accuracy,,,,,,,,,,,,,,chunk_size,top_k_accuracy,,,,chunk_size,mean_f1
1500,50,text-embedding-3-large,10,0.112517304,0.255734589,0.627906977,0.906976744,0.953488372,0.953488372,,0.604611481,,,,,0.255734589,0.953488372,,,,,,,,,,,,,,1500,0.953488372,,,,1500,0.255734589
1500,100,text-embedding-3-small,5,0.102548676,0.241795082,0.674418605,0.860465116,0.88372093,0.88372093,,0.562758006,,,,,0.241795082,0.88372093,,,,,,,,,,,,,,1500,0.88372093,,,,1500,0.241795082
1500,100,text-embedding-3-small,10,0.109626128,0.249926816,0.674418605,0.860465116,0.88372093,0.930232558,,0.590079687,,,,,0.249926816,0.930232558,,,,,,,,,,,,,,1500,0.930232558,,,,1500,0.249926816
1500,100,text-embedding-3-large,5,0.11108614,0.248493227,0.744186047,0.837209302,0.930232558,0.930232558,,0.589362893,,,,,0.248493227,0.930232558,,,,,,,,,,,,,,1500,0.930232558,,,,1500,0.248493227
1500,100,text-embedding-3-large,10,0.121920593,0.259586761,0.76744186,0.837209302,0.930232558,0.976744186,,0.618165474,,,,,0.259586761,0.976744186,,,,,,,,,,,,,,1500,0.976744186,,,,1500,0.259586761
1500,250,text-embedding-3-small,5,0.098858976,0.233518055,0.604651163,0.76744186,0.860465116,0.860465116,,0.546991586,,,,,0.233518055,0.860465116,,,,,,,,,,,,,,1500,0.860465116,,,,1500,0.233518055
1500,250,text-embedding-3-small,10,0.11941788,0.258186101,0.604651163,0.76744186,0.860465116,0.953488372,,0.605837237,,,,,0.258186101,0.953488372,,,,,,,,,,,,,,1500,0.953488372,,,,1500,0.258186101
1500,250,text-embedding-3-large,5,0.119882801,0.256198785,0.627906977,0.860465116,0.953488372,0.953488372,,0.604843579,,,,,0.256198785,0.953488372,,,,,,,,,,,,,,1500,0.953488372,,,,1500,0.256198785
1500,250,text-embedding-3-large,10,0.130395258,0.266277846,0.627906977,0.860465116,0.953488372,0.953488372,,0.609883109,,,,,0.266277846,0.953488372,,,,,,,,,,,,,,1500,0.953488372,,,,1500,0.266277846
2000,50,text-embedding-3-small,5,0.077081659,0.20646102,0.720930233,0.790697674,0.906976744,0.906976744,,0.556718882,,,,,0.20646102,0.906976744,,,,,,,,,,,,,,2000,0.906976744,,,,2000,0.20646102
2000,50,text-embedding-3-small,10,0.084258452,0.213348691,0.720930233,0.790697674,0.906976744,0.953488372,,0.583418532,,,,,0.213348691,0.953488372,,,,,,,,,,,,,,2000,0.953488372,,,,2000,0.213348691
2000,50,text-embedding-3-large,5,0.079791423,0.208503829,0.744186047,0.860465116,0.906976744,0.906976744,,0.557740287,,,,,0.208503829,0.906976744,,,,,,,,,,,,,,2000,0.906976744,,,,2000,0.208503829
2000,50,text-embedding-3-large,10,0.084064662,0.212701445,0.744186047,0.860465116,0.906976744,0.930232558,,0.571467002,,,,,0.212701445,0.930232558,,,,,,,,,,,,,,2000,0.930232558,,,,2000,0.212701445
2000,100,text-embedding-3-small,5,0.080106508,0.210474766,0.720930233,0.906976744,0.953488372,0.953488372,,0.581981569,,,,,0.210474766,0.953488372,,,,,,,,,,,,,,2000,0.953488372,,,,2000,0.210474766
2000,100,text-embedding-3-small,10,0.086932994,0.219290769,0.720930233,0.906976744,0.953488372,0.976744186,,0.598017478,,,,,0.219290769,0.976744186,,,,,,,,,,,,,,2000,0.976744186,,,,2000,0.219290769
2000,100,text-embedding-3-large,5,0.07822552,0.205594906,0.790697674,0.906976744,0.906976744,0.906976744,,0.556285825,,,,,0.205594906,0.906976744,,,,,,,,,,,,,,2000,0.906976744,,,,2000,0.205594906
2000,100,text-embedding-3-large,10,0.085074548,0.21620707,0.790697674,0.906976744,0.906976744,0.953488372,,0.584847721,,,,,0.21620707,0.953488372,,,,,,,,,,,,,,2000,0.953488372,,,,2000,0.21620707
2000,250,text-embedding-3-small,5,0.080899785,0.203362929,0.674418605,0.860465116,0.930232558,0.930232558,,0.566797744,,,,,0.203362929,0.930232558,,,,,,,,,,,,,,2000,0.930232558,,,,2000,0.203362929
2000,250,text-embedding-3-small,10,0.086172283,0.212003751,0.674418605,0.860465116,0.930232558,0.976744186,,0.594373969,,,,,0.212003751,0.976744186,,,,,,,,,,,,,,2000,0.976744186,,,,2000,0.212003751
2000,250,text-embedding-3-large,5,0.084941587,0.207577611,0.697674419,0.88372093,0.906976744,0.906976744,,0.557277178,,,,,0.207577611,0.906976744,,,,,,,,,,,,,,2000,0.906976744,,,,2000,0.207577611
2000,250,text-embedding-3-large,10,0.088302234,0.211914227,0.697674419,0.88372093,0.906976744,0.953488372,,0.5827013,,,,,0.211914227,0.953488372,,,,,,,,,,,,,,2000,0.953488372,,,,2000,0.211914227
